frequency,date,gold_price_usd_per_oz
Weekly,2025-03-28,3034.87
Weekly,2025-04-04,3108.23
Weekly,2025-04-11,3095.86
Weekly,2025-04-18,3271.6
Weekly,2025-04-25,3318.84
Weekly,2025-05-02,3273.57
Weekly,2025-05-09,3342.05
Weekly,2025-05-16,3205.86
Weekly,2025-05-23,3283.6
Weekly,2025-05-30,3306.03
Weekly,2025-06-06,3356.94
Weekly,2025-06-13,3362.69
Weekly,2025-06-20,3382.94
Weekly,2025-06-27,3318.35
Weekly,2025-07-04,3327.24
Weekly,2025-07-11,3318.99
Weekly,2025-07-18,3338.73
Weekly,2025-07-25,3383.79
Weekly,2025-08-01,3314.35
Weekly,2025-08-08,3381.05
Weekly,2025-08-15,3348.69
Weekly,2025-08-22,3336.81
Weekly,2025-08-29,3382.9
Weekly,2025-09-05,3532.39
Weekly,2025-09-12,3642.72
Weekly,2025-09-19,3668.18
Weekly,2025-09-26,3753.14
Weekly,2025-10-03,3857.59
Weekly,2025-10-10,3992.45
Weekly,2025-10-17,4182.71
Weekly,2025-10-24,4156.42
Weekly,2025-10-31,3986.33
Weekly,2025-11-07,3985.03
Weekly,2025-11-14,4123.41
Weekly,2025-11-21,4084.75
Weekly,2025-11-28,4138.62
Weekly,2025-12-05,4221.5
Weekly,2025-12-12,4232.74
Weekly,2025-12-19,4330.62
Weekly,2025-12-26,4462.69
Weekly,2026-01-02,4334.74
Weekly,2026-01-09,4461.59
Weekly,2026-01-16,4612.88
Weekly,2026-01-23,4811.89
Weekly,2026-01-30,5169.77
Weekly,2026-02-06,4883.21
Weekly,2026-02-13,5037.38
Weekly,2026-02-20,4978.97
Weekly,2026-02-27,5178.57
Weekly,2026-03-06,5145.54
Weekly,2026-03-13,5130.63
Weekly,2026-03-20,4808.9
Weekly,2026-03-27,4480.99
Weekly,2026-04-03,4631.04
Weekly,2026-04-10,4715.99
Weekly,2026-04-17,4800.95
Weekly,2026-04-24,4752.64
Weekly,2026-05-01,4605.5
Weekly,2026-05-08,4681.07
Weekly,2026-05-15,4658.86
Weekly,2026-05-22,4511.27
Weekly,2026-05-29,4482.61
Weekly,2026-06-05,4451.97
Weekly,2026-06-12,4216
Weekly,2026-06-19,4283.98
Weekly,2026-06-26,4086.15
Weekly,2026-07-03,4087.06
Weekly,2026-07-10,4118.45
Weekly,2026-07-17,4033.27
Weekly,2026-07-24,4064.63
Weekly,2026-07-31,4047.14
Weekly,2026-08-07,4184.47
